Features,Cover,Gain,IsImaging,NA_full,NA_target,Path,Field,ValueType,Units
26641-0.0,0.00044444444444444447,0.8567605976403436,True,1.3,3.2,,26641-0.0,,
26555-0.0,0.03044444444444444,0.4624221418341773,True,1.3,3.2,,26555-0.0,,
25094-0.0,0.00022222222222222223,0.3849404295683467,True,5.0,27.4,,25094-0.0,,
25558-0.0,0.00022222222222222223,0.18993506224711676,True,5.0,27.4,,25558-0.0,,
25629-0.0,0.00044444444444444447,0.11831503881376372,True,5.0,27.4,,25629-0.0,,
25087-0.0,0.002,0.09334947679958193,True,5.0,27.4,,25087-0.0,,
25656-0.0,0.024444444444444446,0.09017575189795318,True,5.0,27.4,,25656-0.0,,
27679-0.0,0.00044444444444444447,0.0832189279847087,True,1.3,3.2,,27679-0.0,,
25890-0.0,0.0024444444444444444,0.0771082714996962,True,0.0,0.0,,25890-0.0,,
25869-0.0,0.0006666666666666668,0.06410951858862453,True,0.0,0.0,,25869-0.0,,
27103-0.0,0.0015555555555555557,0.050363826183266194,True,1.3,3.2,,27103-0.0,,
26624-0.0,0.002,0.047781097880597645,True,1.3,3.2,,26624-0.0,,
25202-0.0,0.0015555555555555557,0.042393707948998965,True,5.0,27.4,,25202-0.0,,
26682-0.0,0.006666666666666666,0.040440045364696156,True,1.3,3.2,,26682-0.0,,
25245-0.0,0.00022222222222222223,0.03839836415534912,True,5.0,27.4,,25245-0.0,,
30210-0.0,0.0024444444444444444,0.03765459998295547,False,5.0,8.1,,30210-0.0,,
26537-0.0,0.003111111111111111,0.03708054743578417,True,1.3,3.2,,26537-0.0,,
30070-0.0,0.007333333333333334,0.02781159871540833,False,4.8,8.1,,30070-0.0,,
25167-0.0,0.05466666666666667,0.00803518137567423,True,5.0,27.4,,25167-0.0,,
25552-0.0,0.060666666666666674,0.00783671271974757,True,5.0,27.4,,25552-0.0,,
25734-0.0,0.06733333333333333,0.006317094743090906,True,0.0,0.0,,25734-0.0,,
25198-0.0,0.059555555555555556,0.006137759297561503,True,5.0,27.4,,25198-0.0,,
1608-0.0,0.050444444444444445,0.005264469648264615,False,23.9,16.1,,1608-0.0,,
25195-0.0,0.019777777777777776,0.003932417263050206,True,5.0,27.4,,25195-0.0,,
